campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Physics,R25-1000009,POSTDOCTORAL ASSOCIATE,Research Faculty,100,"$65,000.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,"B0169 -- B-EVCAA,VC RIO",Ctr for Nat Sec Initiatives,R25-1000035,SR PROFESSIONAL RESEARCH ASST,Research Faculty,75,"$200,000.00",0
CU Boulder,B0222 -- B-SVC-Assoc VC for IT and CIO,10948 -- Office Information Technology,Office Information Technology,R25-1000078,FINANCE/ACCTG SENIOR PROF,Univ Staff- Finance & Acct.,100,"$76,200.00",0
CU Boulder,B0254 -- B-Department of Public Safety,11366 -- DPS Operations,DPS Operations,R25-1000080,TECHNICIAN V,Class Staff-Professional Srvce,100,"$95,112.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1000081,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$68,000.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,Facilities Maintenance Ops,R25-1000087,PIPE/MECH TRADES I,"Class Staff-Labor,Trades&Crfts",100,"$60,204.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Lab Atmos/Space Physics,R25-1000091,TEMPORARY RESEARCHER,Research Faculty,2.5,"$1,750.00",0
CU Boulder,B0254 -- B-Department of Public Safety,11389 -- DPS Security Services,DPS Security Services,R25-1000131,TECHNICIAN I,Class Staff-Professional Srvce,100,"$50,000.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,Transportation Services,R25-1000132,EQUIPMENT OPERATOR II,US-Auxilliary Funding (CS),100,"$52,000.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1000142,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$43,846.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1000157,FOOD SERVICE SUPERVISOR,US-Auxilliary Funding (CS),100,"$49,358.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Ecology & Evolutionary Biology,R25-1000163,POSTDOCTORAL ASSOCIATE,Research Faculty,100,"$65,686.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1000175,FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$39,853.00",0
CU Boulder,B0254 -- B-Department of Public Safety,11366 -- DPS Operations,DPS Operations,R25-1000179,TECHNICIAN V,Class Staff-Professional Srvce,100,"$70,000.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Coop Inst Res/Envrm Sci - Dir,R25-1000190,TEMPORARY RESEARCHER,Research Faculty,2.5,"$1,560.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"Elect, Comp & Energy Engr Dept",R25-1000236,POSTDOCTORAL ASSOCIATE,Research Faculty,100,"$72,500.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Biofrontiers Institute,R25-1000241,POSTDOCTORAL ASSOCIATE,Research Faculty,100,"$71,532.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Cognitive Sci Institute-Admin,R25-1000252,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$47,000.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,SL Communication & Marketing,R25-1000253,COMMUNICATION PROGRAM MGR,Univ Staff - Communication,100,"$70,824.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Campus Dining & Hospitality,R25-1000254,FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$39,853.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,Facilities Maintenance Ops,R25-1000264,PIPE/MECH TRADES II,"Class Staff-Labor,Trades&Crfts",100,"$74,952.00",0
CU Boulder,B0164 -- B-Provost & EVCAA-Acad Supp,B0013 -- B-Enrollment Management,Domestic Admissions-Operations,R25-1000273,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$64,500.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0299 -- B-FBS Auxiliary Services,CU Bookstore,R25-1000274,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,100,"$60,000.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0299 -- B-FBS Auxiliary Services,CU Bookstore,R25-1000293,BUSINESS SERVICES SENIOR PROF,Univ Staff - Business Services,100,"$62,000.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Housing Facilities Services,R25-1000305,CUSTODIAN I,US-Auxilliary Funding (CS),100,"$39,853.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1000311,EXTERNAL RELATIONS DIRECTOR,Univ Staff- External Relations,100,"$130,000.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,PlanningDesign&Construction,R25-1000362,BUSINESS SERVICES PRGM DIR,Univ Staff - Business Services,50,"$30,600.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0088 -- B-VCSA-VC for Student Affairs,Residence Life,R25-1000388,STUDENT SERVICES PRGM MANAGER,Univ Staff - Student Services,100,"$55,000.00",0
CU Boulder,"B0163 -- B-Chancellor, Boulder Campus",B0003 -- B-Office of the Chancellor,Office of the Chancellor,R25-1000390,EXTERNAL RELATIONS PROF,Univ Staff- External Relations,100,"$60,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0065 -- B-VCAA-College Business&Admin,Leeds-Budget & Administration,R25-1000405,STUDENT SERVICES PROFESSIONAL,Univ Staff - Student Services,100,"$60,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Classics,R25-1000412,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,50,"$27,560.00",0
CU Boulder,B0254 -- B-Department of Public Safety,11389 -- DPS Security Services,DPS Security Services,R25-1000413,TECHNICIAN I,Class Staff-Professional Srvce,100,"$51,250.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Coop Inst Res/Envrm Sci - Dir,R25-1000417,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$63,000.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,Crown Institute,R25-1000419,PROFESSIONAL RESEARCH ASST,Research Faculty,100,"$74,000.00",0
CU Boulder,B0017 -- B-VC RSCH & INSTITUTES,B0168 -- B-INSTITUTES,"INSTAAR-Inst,Arctic&Alpin Rsch",R25-1000422,TEMPORARY RESEARCHER,Research Faculty,2.5,"$1,560.00",0
CU Boulder,B0122 -- B-Finance & Business Strategy,B0113 -- SVC-Infrastructure & Sustain,FM Campus Building Srvcs,R25-1000450,GENERAL LABOR I,"Class Staff-Labor,Trades&Crfts",100,"$39,852.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0035 -- B-VCAA-College Arts & Sciences,Theatre & Dance,R25-1000451,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$51,000.00",0
CU Boulder,B0087 -- B-VC for Student Life,B0104 -- B-VCSA-Student Fee Departments,UMC-Administration,R25-1000458,HOSPITALITY PROFESSIONAL,Univ Staff - Hospitality,100,"$51,000.00",0
CU Boulder,B0167 -- B-EVCAA-Academic Units,B0070 -- B-College of Engr&Applied Sci,"CivilEng-Civil,Env&Arch Engin",R25-1000473,PROFESSIONAL RESEARCH ASST,Research Faculty,50,"$54,000.00",0
