campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1000135,GROUNDS & NURSERY I,"Class Staff-Labor,Trades&Crfts",100,"$43,932.00",0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1000210,PIPE/MECH TRADES II,US-Auxilliary Funding (CS),100,"$65,000.00",0
UCCS,C0026 -- VCAF-Public Safety,40121 -- VCAF-Police Operations,VCAF-Police Operations,R25-1000214,TRAINEE,US-Auxilliary Funding (CS),100,"$63,046.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0023 -- VCAF-Facilities,VCAF-FAC-ADMIN OP,R25-1000226,PIPE/MECH TRADES II,US-Auxilliary Funding (CS),100,"$76,000.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1000318,STANDARDIZED PATIENT,US-Auxilliary Funding (CS),2.5,$988.00,0
UCCS,40250 -- VCUA-University Development,,VCUA-University Development,R25-1000347,DEVELOPMENT PROFESSIONAL,Univ Staff - Development,100,"$53,000.00",0
UCCS,C0026 -- VCAF-Public Safety,40121 -- VCAF-Police Operations,VCAF-Police Operations,R25-1000407,TRAINEE,US-Auxilliary Funding (CS),100,"$63,046.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40073 -- LAS-History,LAS-History,R25-1000437,COMMUNICATION ENTRY PROF,Univ Staff - Communication,2.5,"$1,196.00",0
UCCS,C0029 -- VCEMSA-Admin Operations,C0040 -- VCSA-ACAD SUPPORT & ENGAGEMENT,VCEMSA-Student Life Operating,R25-1000500,STUDENT SERVICE ASSOC DIRECTOR,Univ Staff - Student Services,100,"$72,000.00",0
UCCS,C0007 -- AA-Administration,40018 -- AA-Provost,AA-Provost,R25-1000762,EXECUTIVE ASSISTANT,Univ Staff- Prof. Support Sr,100,"$72,000.00",0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1001266,ASST INSTRUCTOR,Other Faculty,6.25,$800.00,0
UCCS,C0007 -- AA-Administration,40020 -- AA-Sponsored Research,AA-Sponsored Research,R25-1001293,RESEARCH SERVICES PROFESSIONAL,Univ Staff - Research Services,100,"$58,000.00",0
UCCS,C0013 -- Chanc-Ent Center For Arts,40060 -- Chanc-Ent-Theatreworks,Chanc-Ent-Theatreworks,R25-1001381,EXTERNAL RELATIONS DIRECTOR,Univ Staff- External Relations,100,"$92,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1001552,LECTURER,Other Faculty,7.5,"$1,800.00",0
UCCS,C0041 -- VCAF-INFRASTRUCTURE AND SUSTAI,C0042 -- VCAF-PARKING & TRANSPORTATION,VCAF-Transportation Srvcs,R25-1001757,EQUIPMENT OPERATOR I,US-Auxilliary Funding (CS),50,"$20,800.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40051 -- LAS-Administrative Operations,LAS-Administrative Operations,R25-1001800,LECTURER,Other Faculty,22.5,$628.00,0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40055 -- LAS-Foreign Language & Culture,LAS-Foreign Language & Culture,R25-1001916,LECTURER,Other Faculty,37.5,"$5,225.00",0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1002049,ASST INSTRUCTOR,Other Faculty,6.25,$800.00,0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1002050,ASST INSTRUCTOR,Other Faculty,12.5,"$1,600.00",0
UCCS,C0035 -- VCEMSA-Enrollment Management,C0036 -- VCEMSA-Enrollment Mgmt Unit,VCEMSA-Admissions,R25-1002127,ACADEMIC SERVICES SENIOR PROF,Univ Staff - Academic Services,100,"$54,000.00",0
UCCS,C0013 -- Chanc-Ent Center For Arts,40255 -- Chanc-Ent-Ent Center Admin,Chanc-Ent-Ent Center Admin,R25-1002133,EXTERNAL RELATIONS PROF,Univ Staff- External Relations,100,"$51,000.00",0
UCCS,C0029 -- VCEMSA-Admin Operations,C0040 -- VCSA-ACAD SUPPORT & ENGAGEMENT,VCEMSA-RESIDENCE LIFE,R25-1002157,STUDENT SERVICES PRGM MANAGER,Univ Staff - Student Services,100,"$48,803.00",0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1002186,ASST INSTRUCTOR,Other Faculty,18.75,"$2,400.00",0
