campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1000255,LECTURER,Other Faculty,20,"$2,250.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1000281,LECTURER,Other Faculty,20,"$2,250.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1000289,LECTURER,Other Faculty,20,"$2,250.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30093 -- CLAS-Biology,CLAS-Biology,R25-1000530,ADMIN ASSISTANT III,Class Staff-Admin Support,100,"$50,856.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30160 -- CLAS-Health&BehavioralSciences,CLAS-Health&BehavioralSciences,R25-1000654,TEMPORARY (ALTERNATE FUNDING),US-Auxilliary Funding (CS),37.5,"$14,672.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30160 -- CLAS-Health&BehavioralSciences,CLAS-Health&BehavioralSciences,R25-1000673,TEMPORARY (ALTERNATE FUNDING),US-Auxilliary Funding (CS),37.5,"$22,620.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,VCSSLS-HWAS Dean of Students,R25-1000749,STUDENT SERVICES PROFESSIONAL,Univ Staff - Student Services,100,"$57,000.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30077 -- CEDC-Computer SC & Engineering,CEDC-Computer SC & Engineering,R25-1001079,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$57,000.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30106 -- CLAS-Mathematics,CLAS-Mathematics,R25-1001101,LECTURER,Other Faculty,22.5,"$3,611.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30114 -- CAP-Architecture Department,CAP-Architecture Department,R25-1001232,LECTURER,Other Faculty,45,"$8,488.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,AVCSETLS-OIA Int'l Educatn,R25-1001261,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$70,763.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30106 -- CLAS-Mathematics,CLAS-Mathematics,R25-1001270,ADMIN ASSISTANT III,Class Staff-Admin Support,100,"$53,712.00",0
CU Denver,U0075 -- U-VCASA/EVC Acad &Stdnt Affrs,D0013 -- D-VCSSLS-StratEnrll&StdntScces,VCSSLS-Stud Success&Learn Supt,R25-1001358,EXECUTIVE ASSISTANT,Univ Staff- Prof. Support Sr,100,"$70,000.00",0
CU Denver,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0110 -- U-ADM-Chancellor Denver,ADM VC Comm Denver,R25-1001383,COMMUNICATION PRGM DIR,Univ Staff - Communication,100,"$91,000.00",0
CU Denver,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0110 -- U-ADM-Chancellor Denver,ADM VC Comm Denver,R25-1001549,COMMUNICATION PROFESSIONAL,Univ Staff - Communication,100,"$66,000.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30116 -- CAP-Admin & Instruction Svcs,CAP-Admin & Instruction Svcs,R25-1001607,LECTURER,Other Faculty,22.5,"$5,730.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30074 -- CEDC-Electrical Engineering,CEDC-Electrical Engineering,R25-1001781,VISITING RESEARCHER,Research Faculty,87.5,"$36,000.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30093 -- CLAS-Biology,CLAS-Biology,R25-1001941,POST-DOCTORAL FELLOW,Other Faculty,100,"$62,232.00",0
