campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1000295,IT MANAGER,Univ Staff - Information Tech.,100,"$127,600.00",0
System Administration,S0015 -- S-Risk Management,50058 -- Risk Management,Risk Management,R25-1000567,BUSINESS SERVICES ASST DIR,Univ Staff - Business Services,100,"$130,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1000924,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$56,500.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1001341,DEVELOPMENT PROFESSIONAL,Univ Staff - Development,100,"$65,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1002695,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$57,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50027 -- University Controller,University Controller,R25-1003005,FINANCE/ACCTG PRINCIPAL PROF,Univ Staff- Finance & Acct.,100,"$77,500.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50027 -- University Controller,University Controller,R25-1003753,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$64,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1003850,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$58,000.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1004088,BUSINESS SERVICES SENIOR PROF,Univ Staff - Business Services,100,"$90,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50027 -- University Controller,University Controller,R25-1004153,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$64,000.00",0
System Administration,S0008 -- S-Office of President,50003 -- Internal Audit,Internal Audit,R25-1004877,AUDIT SENIOR,Univ Staff - Audit and Legal,100,"$80,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50027 -- University Controller,University Controller,R25-1004910,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$88,500.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1005033,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$54,000.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1005354,DEVELOPMENT PROFESSIONAL,Univ Staff - Development,100,"$65,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1005776,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$56,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1005784,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$118,000.00",0
System Administration,S0010 -- S-VPA-Administration,S0012 -- S-VPA-Operations,Government Relations,R25-1005823,COMMUNICATION PROGRAM MGR,Univ Staff - Communication,100,"$115,000.00",0
System Administration,S0008 -- S-Office of President,50003 -- Internal Audit,Internal Audit,R25-1005834,AUDIT SENIOR,Univ Staff - Audit and Legal,100,"$104,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1006047,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$56,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1006101,IT PRINCIPAL PROF,Univ Staff - Information Tech.,100,"$98,400.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1006103,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$73,600.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1006254,HR PROFESSIONAL,Univ Staff - Human Resources,100,"$56,000.00",0
System Administration,S0040 -- Univ Counsel/VIP,50057 -- University Counsel,University Counsel,R25-1006646,VICE PRESIDENT,Univ Staff - Executive,100,"$490,000.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1006895,IT DIRECTOR,Univ Staff - Information Tech.,100,"$180,000.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1007118,IT PROFESSIONAL,Univ Staff - Information Tech.,100,"$54,500.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50030 -- VPBF-Procurement Center,Procurement Service Center,R25-1007140,BUSINESS SERVICES SENIOR PROF,Univ Staff - Business Services,100,"$79,000.00",0
System Administration,S0024 -- S-UMS-Univ Management Systems,S0025 -- S-UMS-Administration,University InformationServices,R25-1007149,IT SENIOR PROF,Univ Staff - Information Tech.,100,"$94,000.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1007239,HR SENIOR PROF,Univ Staff - Human Resources,100,"$66,500.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1007301,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,50,"$24,856.00",0
System Administration,S0009 -- S-Vice Pres Budget & Finance,50029 -- VPBF-Payroll/Benefits Center,Employee Services,R25-1007438,HR MANAGER,Univ Staff - Human Resources,100,"$89,000.00",0
System Administration,S0008 -- S-Office of President,50017 -- Office of the President,Office of the President,R25-1007626,ASSOCIATE COUNSEL,Univ Staff - Audit and Legal,100,"$195,700.00",0
System Administration,S0008 -- S-Office of President,50206 -- Advancement Operations,Advancement Operations,R25-1008078,DEVELOPMENT PRINCIPAL PRO,Univ Staff - Development,100,"$91,000.00",0
